Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565351502059, 57, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012651384148780908; 0.05022793052340042; 0.007136514706159608]], 35.422870685265735, 
1565351571170, 79, ESTIMATION, -,[[0.00734463380693565; 0.028912846699611094; 0.004145259899490444]], 0.4434233393688615, 
1565351571173, 80, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.00734463380693565; 0.028912846699611094; 0.004145259899490444]], 0.4434233393688615, 
1565351571192, 62, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.007301217151895252; 0.02773143029655545; 0.0056887610276702616]], 0.4353233997215583, 
1565351571194, 87, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012681073094668673; 0.05088413592789913; 0.007137212063829217]], 19.99619747361055, 
1565351571195, 77, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.004973401948904833; 0.020459223385832517; 0.0027877667462540006]], 0.3307861429029107, 
1565351571202, 48, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.011852282088134358; 0.02162860239844481; 0.007520675522474075]], 1.2915174141698806, 
1565351641280, 40, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012638892646891825; 0.05138981307533124; 0.00713763872516215]], 19.272854299407392, 
1565351641295, 22, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.00809682178797623; 0.02752297305392994; 0.0049927768330172055]], 0.6037382181867615, 
1565351641302, 62, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007270984585121906; 0.028963164353526374; 0.004114878679195862]], 0.44134758199701046, 
1565351641313, 54, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.004940001054951553; 0.020589133604134658; 0.002779843255347495]], 0.3291611181223452, 
1565351641315, 55, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.011813636198358955; 0.021762614105369574; 0.007414663067968741]], 1.3060674309600877, 
1565351641322, 91, ESTIMATION, -,[[0.007270984585121906; 0.028963164353526374; 0.004114878679195862]], 0.44134758199701046, 
1565351641329, 62, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00910630929467098; 0.024883933010959137; 0.006459948304770809]], 0.7678482273295567, 
1565351711419, 63, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007265991961620968; 0.02898955091901977; 0.004109912893433746]], 0.43695216358642147, 
1565351711431, 79, ESTIMATION, -,[[0.007265991961620968; 0.02898955091901977; 0.004109912893433746]], 0.43695216358642147, 
1565351711447, 59, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.004955626679199606; 0.020650238114398457; 0.0027878740262253527]], 0.3261874575733848, 
1565351711451, 52, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008206690006911951; 0.027548734434216363; 0.004831826539444925]], 0.6209878508372118, 
1565351711452, 83, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012627542146815612; 0.0513828365388148; 0.007128119027566612]], 20.59554161030549, 
